,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
bxpc3+TGFB_PIK3CA,0.026183771,0.014770058,1.7727602,0.99139756,0.25698397,0.8476398498917617,0.2708701465946668,0.9933191056411351,0.9966790694013933,0.9966288408541817,2134,1253,1.6007766723632812,1.4735019207000732,1.0863757133483887,,,,,,,,0.0,1.0,bxpc3+TGFB_PIK3CA,bxpc3+TGFB,PIK3CA,False,True,0
bxpc3+TGFB_PPP2CA,0.022911752,0.008637692,2.6525316,0.99263614,0.25700137,0.8510564974635373,0.25989071695676663,0.9943588405397314,0.9979678680398926,0.9963836235456662,2127,1333,0.8511252403259277,1.7746731042861938,0.47959551215171814,,,,,,,,1.0,0.0,bxpc3+TGFB_PPP2CA,bxpc3+TGFB,PPP2CA,False,True,0
bxpc3+TGFB_PRKCA,0.024853896,0.0072229425,3.4409657,0.9922921,0.18964317,0.8491421551312676,0.24320733534759742,0.9941101166206415,0.9983004764779345,0.9958025064036062,2146,1346,,,,,,,,,,,,,bxpc3+TGFB_PRKCA,bxpc3+TGFB,PRKCA,False,False,0
bxpc3+TGFB_RAF1,0.031516925,0.02158657,1.4600246,0.9899106,0.21895069,0.8447445825980314,0.21340460495065966,0.9920514560578306,0.9953772165228958,0.9966587938624084,2022,1326,0.25439924001693726,0.3284372389316559,0.774574875831604,0.8474591374397278,0.021770432591438293,0.7489405802225289,0.32647058823529407,0.9122731432683691,0.9024998626244443,1.0108291214754364,13.0,3.0,bxpc3+TGFB_RAF1,bxpc3+TGFB,RAF1,False,True,0
bxpc3+TGFB_RBL1,0.032631975,0.03176317,1.0273526,0.9891392,0.35612053,0.8312614837698232,0.3674164797015217,0.9913097573135544,0.9931269137110076,0.9981702676945255,2234,1116,0.44492122530937195,0.4614822268486023,0.9641134738922119,0.742487370967865,-0.20133273303508759,0.46503533374918954,-0.06846153846153846,0.8125808365437655,0.8109211300565251,1.0020466928604075,23.0,2.0,bxpc3+TGFB_RBL1,bxpc3+TGFB,RBL1,False,True,0
bxpc3+TGFB_RBX1,0.0274096,0.010726849,2.5552332,0.9920206,0.2858542,0.8238309490853291,0.29543973590312494,0.9938574778330849,0.9975331004056252,0.9963152876119643,2183,1222,,,,,,,,,,,,,bxpc3+TGFB_RBX1,bxpc3+TGFB,RBX1,False,True,0
bxpc3+TGFB_RELA,0.018488787,0.0070946715,2.6060104,0.9940719,0.36288393,0.8671903682358252,0.27780512472081625,0.9954766872394057,0.9982961694187112,0.9971757057016984,2124,1356,0.003203476080670953,0.8946701288223267,0.0035806226078420877,,,,,,,,1.0,0.0,bxpc3+TGFB_RELA,bxpc3+TGFB,RELA,False,True,0
bxpc3+TGFB_RHOA,0.03900063,0.032294355,1.2076609,0.987365,0.3450357,0.8003150197675853,0.3670301624762228,0.990065010132107,0.9930330987498122,0.9970110879270371,2304,1040,0.3488890528678894,0.4996670186519623,0.6982430815696716,0.8805384039878845,0.23643764853477478,0.2862232054454845,0.23307692307692307,0.8817434872164904,0.896718250433666,0.983300481271644,21.0,4.0,bxpc3+TGFB_RHOA,bxpc3+TGFB,RHOA,False,True,0
bxpc3+TGFB_RPS6KB1,0.021587247,0.0062239524,3.4684145,0.99302053,0.22464553,0.8610950400141386,0.23983060630975525,0.9946836483096277,0.9985244159364919,0.996153556622587,2114,1422,,,,,,,,,,,,,bxpc3+TGFB_RPS6KB1,bxpc3+TGFB,RPS6KB1,False,True,0
bxpc3+TGFB_RUNX1,0.023798212,0.0059772525,3.9814634,0.9923547,0.10506938,0.8706786659120983,0.1779496133768658,0.994190333356699,0.9985752956602123,0.9956087815084449,2124,1473,,,,,,,,,,,,,bxpc3+TGFB_RUNX1,bxpc3+TGFB,RUNX1,False,False,0
bxpc3+TGFB_RUNX2,0.024832927,0.012667557,1.9603564,0.9918841,0.26249593,0.8438061216676281,0.30026350965767107,0.9937231286329201,0.9971444547827771,0.99656887612076,2158,1254,,,,,,,,,,,,,bxpc3+TGFB_RUNX2,bxpc3+TGFB,RUNX2,False,True,0
bxpc3+TGFB_RUNX3,0.028707199,0.010396428,2.7612557,0.99070764,0.050508674,0.867359234219051,0.16071589058254074,0.9928642792336813,0.9975924670912627,0.9952604014028217,2008,1420,0.2829277217388153,0.6020517945289612,0.4699391722679138,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9580393727111154,0.9980048190581697,0.9599546559456794,1.0,1.0,bxpc3+TGFB_RUNX3,bxpc3+TGFB,RUNX3,False,True,0
bxpc3+TGFB_SKP1,0.21592993,0.31405914,0.6875454,0.9238577,0.5044258,0.7416676327206793,0.51061424644158,0.936165519196272,0.9353361957695145,1.0008866581134233,2008,582,1.7126938104629517,2.3560192584991455,0.7269439101219177,0.7852582335472107,-0.08243902772665024,0.6676195905945397,0.03230769230769231,0.7020887082973294,0.7139697379958001,0.9833591970833074,23.0,2.0,bxpc3+TGFB_SKP1,bxpc3+TGFB,SKP1,False,False,0
bxpc3+TGFB_SMAD1,0.020567907,0.008168025,2.5181005,0.9933448,0.3027294,0.8558885045817566,0.28426580676800456,0.9948909457001774,0.9980981342243874,0.9967867002108943,2134,1323,,,,,,,,,,,,,bxpc3+TGFB_SMAD1,bxpc3+TGFB,SMAD1,False,False,0
