,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
a549+IFNG_PPARG,0.58424085,0.84,0.71938217,1.047198141956198,0.6,0,25,0,a549+IFNG
a549+IFNG_PTGES3,0.32298106,0.8,0.4927611,0.5161413020914161,0.72,0,25,0,a549+IFNG
a549+IFNG_ZFP36,0.5888494,0.6666666666666666,0.3333232,0.5239660884340344,0.6666666666666666,0,3,0,a549+IFNG
bxpc3+TGFB_MAPK14,0.83543026,0.5,0.90143937,0.3193408525986958,0.75,2,2,0,bxpc3+TGFB
bxpc3+TGFB_MED15,0.32536632,0.64,0.33541295,0.3634820867319189,0.68,0,25,0,bxpc3+TGFB
bxpc3+TGFB_RUNX3,0.28248292,1.0,0.6020518,2.0407671273478853,0.0,0,2,0,bxpc3+TGFB
hap1+INS_MTOR,0.10475226,0.8,0.13492924,1.0948150707120614,0.4,0,25,0,hap1+INS
hap1+INS_POLR2L,0.065353274,0.92,0.19554521,1.3675524230564111,0.48,0,25,0,hap1+INS
hap1+INS_TSC2,0.64848506,0.3333333333333333,0.2881326,0.5420303330309523,0.3333333333333333,4,5,0,hap1+INS
hap1+INS_ZNF593,0.002458043,1.0,0.017650917,0.13622796068075818,0.5714285714285714,0,7,0,hap1+INS
hap1+TGFB_KRAS,0.0021573827,1.0,0.20463903,0.10610509231308489,0.5,0,2,0,hap1+TGFB
hap1+TGFB_MED15,0.027353818,0.92,0.21014658,0.8580150580460965,0.6,0,25,0,hap1+TGFB
hap1+TGFB_RUNX3,0.33071953,1.0,0.8026582,0.08508943021415574,1.0,0,1,0,hap1+TGFB
ht29+IFNB_HERC6,0.73014593,0.6666666666666666,1.1901085,0.8731138744048957,0.6666666666666666,0,3,0,ht29+IFNB
ht29+IFNB_IFNAR2,0.15450978,1.0,1.8459482,0.28699553229112346,1.0,0,25,0,ht29+IFNB
ht29+IFNB_MAPK14,0.183543,0.72,0.18755956,0.7587890855296072,0.56,1,24,0,ht29+IFNB
ht29+IFNG_PPARG,0.25065768,0.56,0.15304306,0.9281986038947052,0.48,0,25,0,ht29+IFNG
ht29+IFNG_PTGES3,0.10477206,0.76,0.08670194,1.0906438261125322,0.36,0,25,0,ht29+IFNG
ht29+IFNG_ZFP36,0.06798354,0.0,0.028894307,0.03395205539386521,0.0,0,1,0,ht29+IFNG
k562+TNFA_CSF1,0.0418382,0.88,0.030512087,0.44704601705316144,0.68,0,25,0,k562+TNFA
k562+TNFA_IKBKG,0.050311554,0.92,0.09416214,0.48665383527412986,0.68,0,25,0,k562+TNFA
k562+TNFA_MAPK14,0.04177833,0.72,0.071526974,0.4133031454593422,0.64,0,25,0,k562+TNFA
k562+TNFA_MTOR,0.12915967,0.68,0.21747085,1.9156662689450803,0.36,0,25,0,k562+TNFA
k562+TNFA_TRAF1,0.023728214,0.84,0.06292796,1.2111592683954706,0.36,0,25,0,k562+TNFA
k562+TNFA_TRAF2,0.06733759,0.8,0.12955266,0.9474183236868113,0.6,1,24,0,k562+TNFA
mcf7+INS_MTOR,0.08257995,0.75,0.1749382,0.3136735075590504,0.625,0,8,0,mcf7+INS
mcf7+INS_POLR2L,0.15928303,1.0,0.48177573,1.5805332917562331,0.44,0,25,0,mcf7+INS
mcf7+INS_TSC2,0.041520126,0.7142857142857143,0.16499673,0.25201526220288095,0.5714285714285714,0,7,0,mcf7+INS
mcf7+INS_ZNF593,0.0015567624,1.0,0.44318146,0.1915765613298579,0.5,0,2,0,mcf7+INS
mcf7+TGFB_MED15,0.04669182,1.0,0.25374603,2.4859299611820456,0.0,0,2,0,mcf7+TGFB
mcf7+TGFB_RUNX3,0.00808526,1.0,0.5394866,0.26298244869777343,1.0,0,1,0,mcf7+TGFB
a549+INS_MAPK1,0.04777223,0.8888888888888888,0.10716143,0.6094454074163996,0.4444444444444444,0,9,1,a549+INS
a549+TGFB_EP300,0.46807903,0.6,0.23744899,0.5602017646329768,0.68,0,25,1,a549+TGFB
a549+TGFB_MAPK1,0.21739006,0.72,0.26181263,0.7039702123353405,0.52,0,25,1,a549+TGFB
a549+TGFB_NRAS,0.5116399,0.6,0.2746679,0.2523408212079699,0.8,0,25,1,a549+TGFB
a549+TNFA_CSF1,0.21263151,0.72,0.11723066,0.41937926608151715,0.68,0,25,1,a549+TNFA
a549+TNFA_TRAF2,0.4143376,0.7619047619047619,0.28503466,0.32310438140736253,0.7142857142857143,2,19,1,a549+TNFA
a549+TNFA_TRAF3,0.52952886,0.6,0.24349199,0.6642059330187013,0.4,4,11,1,a549+TNFA
a549+TNFA_ZFP36L1,0.26129583,0.72,0.41536018,1.088406625574805,0.56,0,25,1,a549+TNFA
