,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
hap1+INS_HSF1,0.018267045,0.88,0.031440064,0.21215303499682656,0.48,0,25,0,hap1+INS
hap1+INS_MAPK1,0.25015008,0.7,0.2499558,0.44280028069520316,0.5,0,10,0,hap1+INS
hap1+INS_SMARCE1,0.22552708,0.68,0.30917707,0.49255241331555366,0.76,1,24,0,hap1+INS
hap1+INS_TSC1,0.12038216,0.6,0.09969167,0.14451784148100377,0.52,4,21,0,hap1+INS
k562+TNFA_CEBPB,0.06447422,0.84,0.115892045,0.38451524776930784,0.56,0,25,0,k562+TNFA
k562+TNFA_NFKB1,0.027698029,0.76,0.11166871,0.7389947844950824,0.56,0,25,0,k562+TNFA
k562+TNFA_SOX9,0.069499284,0.84,0.12080786,1.0686480469229631,0.48,0,25,0,k562+TNFA
k562+TNFA_TRAF2,0.08805435,0.76,0.12955266,0.9474183236868113,0.6,1,24,0,k562+TNFA
k562+TNFA_ZFP36L1,0.2952969,1.0,0.51233876,2.3851786302153255,0.0,0,1,0,k562+TNFA
mcf7+INS_HSF1,0.11907818,0.75,0.5078027,0.3617374396178978,0.875,1,7,0,mcf7+INS
mcf7+INS_MAPK1,0.4733783,0.68,0.57973355,1.1883754253324839,0.76,2,23,0,mcf7+INS
mcf7+INS_SMARCE1,0.44929585,0.72,0.58393973,1.0237290505274002,0.44,3,22,0,mcf7+INS
mcf7+INS_TSC1,0.22055523,0.72,0.3409608,0.5991635636992654,0.6,0,25,0,mcf7+INS
a549+TNFA_BIRC3,0.7573587,0.5,0.9984473,1.1934965545734233,1.0,0,2,1,a549+TNFA
a549+TNFA_PIK3CA,0.0438572,0.88,0.091987915,0.4045818522365209,0.64,0,25,1,a549+TNFA
ht29+TGFB_RBX1,0.05031264,0.8,0.10290017,0.9769129837898562,0.52,0,25,1,ht29+TGFB
ht29+TGFB_TGFBR3,0.11154561,0.7,0.14591406,0.5535565580091049,0.7,0,10,1,ht29+TGFB
mcf7+INS_COPS4,0.05880853,0.7222222222222222,0.112482905,0.10745942285387197,0.7777777777777778,0,18,1,mcf7+INS
mcf7+INS_DR1,0.50815004,0.72,0.5093184,0.9968297733520244,0.76,2,23,1,mcf7+INS
mcf7+INS_FOXM1,0.09907883,0.76,0.209761,0.5350466982216314,0.52,0,25,1,mcf7+INS
mcf7+INS_IRS2,0.05823693,0.6666666666666666,0.2770856,0.4777524480653265,0.6666666666666666,0,3,1,mcf7+INS
mcf7+INS_PIK3CA,0.16325118,0.8,0.1771002,0.10918179998519109,0.6,0,5,1,mcf7+INS
mcf7+INS_POLR2L,0.15260515,0.92,0.48177573,1.5805332917562331,0.44,0,25,1,mcf7+INS
mcf7+INS_SGK1,0.13971683,0.6666666666666666,0.23008262,0.15358659837145325,0.7333333333333333,0,15,1,mcf7+INS
mcf7+INS_TSC2,0.0642083,0.7142857142857143,0.16499673,0.25201526220288095,0.5714285714285714,0,7,1,mcf7+INS
a549+IFNG_KLF4,0.4842331,0.5625,0.41482154,0.5989796275775325,0.625,0,16,2,a549+IFNG
a549+IFNG_SP110,0.37745968,0.72,0.32467028,0.548541663831957,0.72,0,25,2,a549+IFNG
a549+INS_COPS4,0.2635196,0.72,0.27353618,0.6761266007011436,0.56,0,25,2,a549+INS
a549+INS_FOXO4,0.35614246,0.64,0.29225728,1.6975251736346448,0.48,0,25,2,a549+INS
a549+INS_IKBKB,0.3097932,0.72,0.21409425,0.27851035195800855,0.72,0,25,2,a549+INS
a549+INS_TAF3,0.23033062,0.5,0.34913066,0.045008197001964054,1.0,0,2,2,a549+INS
a549+INS_TTF1,0.35086125,0.7142857142857143,0.22858456,1.2810128365475228,0.5714285714285714,0,7,2,a549+INS
