,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
a549+IFNG_PPARG,0.46391228,0.88,0.71938217,1.047198141956198,0.6,0,25,0,a549+IFNG
a549+IFNG_PTGES3,0.36709946,0.8,0.4927611,0.5161413020914161,0.72,0,25,0,a549+IFNG
a549+IFNG_ZFP36,0.8821904,0.6666666666666666,0.3333232,0.5239660884340344,0.6666666666666666,0,3,0,a549+IFNG
bxpc3+TGFB_MAPK14,0.83954966,0.5,0.90143937,0.3193408525986958,0.75,2,2,0,bxpc3+TGFB
bxpc3+TGFB_MED15,0.35663757,0.6,0.33541295,0.3634820867319189,0.68,0,25,0,bxpc3+TGFB
bxpc3+TGFB_RUNX3,0.15020837,1.0,0.6020518,2.0407671273478853,0.0,0,2,0,bxpc3+TGFB
bxpc3+TNFA_CSF1,0.10903044,0.72,0.08047826,0.3267501039758324,0.68,0,25,0,bxpc3+TNFA
bxpc3+TNFA_IKBKG,0.0756138,0.56,0.080462925,0.3862206235419449,0.64,0,25,0,bxpc3+TNFA
bxpc3+TNFA_MAPK14,0.1843124,0.6,0.21793146,0.34633630214556776,0.6,2,23,0,bxpc3+TNFA
bxpc3+TNFA_MTOR,0.0967829,0.6,0.115472704,0.2716105064593506,0.68,0,25,0,bxpc3+TNFA
bxpc3+TNFA_PTGS2,0.23065417,0.5416666666666666,0.2666603,0.5992259633134392,0.5416666666666666,1,23,0,bxpc3+TNFA
bxpc3+TNFA_TRAF1,0.066303335,0.84,0.0834923,0.3769494985011624,0.68,0,25,0,bxpc3+TNFA
bxpc3+TNFA_TRAF2,0.17893343,0.52,0.08805793,0.38976863085534647,0.48,0,25,0,bxpc3+TNFA
hap1+IFNG_PPARG,0.9134499,0.76,1.0224706,2.1713028594329185,0.56,0,25,0,hap1+IFNG
hap1+IFNG_PTGES3,0.41150102,0.6,0.37269282,1.1694965659567875,0.64,0,25,0,hap1+IFNG
hap1+INS_MTOR,0.12497402,0.8,0.13492924,1.0948150707120614,0.4,0,25,0,hap1+INS
hap1+INS_POLR2L,0.090362996,0.88,0.19554521,1.3675524230564111,0.48,0,25,0,hap1+INS
hap1+INS_TSC2,0.63266206,0.3333333333333333,0.2881326,0.5420303330309523,0.3333333333333333,4,5,0,hap1+INS
hap1+INS_ZNF593,0.002182602,1.0,0.017650917,0.13622796068075818,0.5714285714285714,0,7,0,hap1+INS
hap1+TGFB_KRAS,0.0065773847,1.0,0.20463903,0.10610509231308489,0.5,0,2,0,hap1+TGFB
hap1+TGFB_MED15,0.05680432,0.88,0.21014658,0.8580150580460965,0.6,0,25,0,hap1+TGFB
hap1+TGFB_RUNX3,0.27821943,1.0,0.8026582,0.08508943021415574,1.0,0,1,0,hap1+TGFB
ht29+IFNB_HERC6,0.12414061,1.0,1.1901085,0.8731138744048957,0.6666666666666666,0,3,0,ht29+IFNB
ht29+IFNB_IFNAR2,0.33004525,1.0,1.8459482,0.28699553229112346,1.0,0,25,0,ht29+IFNB
ht29+IFNB_MAPK14,0.12390525,0.84,0.18755956,0.7587890855296072,0.56,1,24,0,ht29+IFNB
ht29+IFNG_PPARG,0.22460604,0.6,0.15304306,0.9281986038947052,0.48,0,25,0,ht29+IFNG
ht29+IFNG_PTGES3,0.10593018,0.68,0.08670194,1.0906438261125322,0.36,0,25,0,ht29+IFNG
ht29+IFNG_ZFP36,0.09745675,0.0,0.028894307,0.03395205539386521,0.0,0,1,0,ht29+IFNG
k562+INS_MTOR,0.14421318,0.92,0.61640704,0.7631715846783158,0.8,0,25,0,k562+INS
k562+INS_POLR2L,0.117190845,0.92,0.22077781,0.7021803349623955,0.68,1,24,0,k562+INS
k562+INS_TSC2,3.5175219,0.2,0.9434965,2.1140926803515208,0.48,21,4,0,k562+INS
k562+INS_ZNF593,0.08297699,0.3333333333333333,0.057596628,0.10157211119652453,0.3333333333333333,3,0,0,k562+INS
k562+TNFA_CSF1,0.025373135,1.0,0.030512087,0.44704601705316144,0.68,0,25,0,k562+TNFA
k562+TNFA_IKBKG,0.14044906,0.96,0.09416214,0.48665383527412986,0.68,0,25,0,k562+TNFA
k562+TNFA_MAPK14,0.12016225,0.92,0.071526974,0.4133031454593422,0.64,0,25,0,k562+TNFA
k562+TNFA_MTOR,0.3822316,0.68,0.21747085,1.9156662689450803,0.36,0,25,0,k562+TNFA
k562+TNFA_TRAF1,0.29745978,0.68,0.06292796,1.2111592683954706,0.36,0,25,0,k562+TNFA
k562+TNFA_TRAF2,0.24349035,0.8,0.12955266,0.9474183236868113,0.6,1,24,0,k562+TNFA
mcf7+INS_MTOR,0.05173521,0.75,0.1749382,0.3136735075590504,0.625,0,8,0,mcf7+INS
mcf7+INS_POLR2L,0.20605965,0.96,0.48177573,1.5805332917562331,0.44,0,25,0,mcf7+INS
mcf7+INS_TSC2,0.06501684,0.7142857142857143,0.16499673,0.25201526220288095,0.5714285714285714,0,7,0,mcf7+INS
mcf7+INS_ZNF593,0.0013043417,1.0,0.44318146,0.1915765613298579,0.5,0,2,0,mcf7+INS
mcf7+TGFB_MED15,0.06692936,1.0,0.25374603,2.4859299611820456,0.0,0,2,0,mcf7+TGFB
mcf7+TGFB_RUNX3,0.053001504,1.0,0.5394866,0.26298244869777343,1.0,0,1,0,mcf7+TGFB
a549+INS_MAPK1,0.07137699,0.8888888888888888,0.10716143,0.6094454074163996,0.4444444444444444,0,9,1,a549+INS
a549+TGFB_EP300,0.44321147,0.56,0.23744899,0.5602017646329768,0.68,0,25,1,a549+TGFB
a549+TGFB_MAPK1,0.21086186,0.8,0.26181263,0.7039702123353405,0.52,0,25,1,a549+TGFB
a549+TGFB_NRAS,0.51372737,0.56,0.2746679,0.2523408212079699,0.8,0,25,1,a549+TGFB
a549+TNFA_CSF1,0.12768964,0.76,0.11723066,0.41937926608151715,0.68,0,25,1,a549+TNFA
a549+TNFA_TRAF2,0.36226356,0.7142857142857143,0.28503466,0.32310438140736253,0.7142857142857143,2,19,1,a549+TNFA
a549+TNFA_TRAF3,0.6346562,0.5333333333333333,0.24349199,0.6642059330187013,0.4,4,11,1,a549+TNFA
a549+TNFA_ZFP36L1,0.20993772,0.76,0.41536018,1.088406625574805,0.56,0,25,1,a549+TNFA
bxpc3+TGFB_EP300,0.31115463,1.0,0.6073151,0.06146359613582121,1.0,0,4,1,bxpc3+TGFB
bxpc3+TGFB_MAPK1,0.3062188,0.9375,0.6271323,0.5261710326009369,0.875,2,14,1,bxpc3+TGFB
bxpc3+TGFB_NRAS,0.25289094,0.8,0.34580174,0.6263716422700261,0.72,0,25,1,bxpc3+TGFB
hap1+INS_MAPK1,0.24532774,0.7,0.2499558,0.44280028069520316,0.5,0,10,1,hap1+INS
hap1+INS_ZNF593,0.0077356724,0.8571428571428571,0.017650917,0.13622796068075818,0.5714285714285714,0,7,1,hap1+INS
hap1+TNFA_CSF1,0.07315991,0.92,0.22314255,0.6870040155360535,0.68,0,25,1,hap1+TNFA
