,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
hap1+IFNG_SP110,0.39129585,0.76,0.49997905,1.7919734279455581,0.56,0,25,2,hap1+IFNG
hap1+IFNG_ZNFX1,0.5196206,1.0,1.4378631,2.9943929716213367,0.75,0,4,2,hap1+IFNG
mcf7+IFNG_FMNL2,0.28249025,0.0,0.17024457,0.5144050001398042,0.0,0,2,2,mcf7+IFNG
mcf7+IFNG_IFI16,0.13815153,0.88,0.2810585,0.7248530126928062,0.6,0,25,2,mcf7+IFNG
mcf7+IFNG_MAFB,0.027277248,1.0,0.078185305,2.575517777214557,0.5,0,4,2,mcf7+IFNG
mcf7+IFNG_SP110,0.07397311,0.8333333333333334,0.14986917,0.5507243090913184,0.5,0,6,2,mcf7+IFNG
mcf7+IFNG_ZNFX1,0.4204836,0.6666666666666666,0.38234186,0.16109223551045726,0.6666666666666666,0,3,2,mcf7+IFNG
mcf7+INS_SREBF2,0.0007330229,1.0,0.31759277,0.3666012560544462,0.0,0,1,2,mcf7+INS
mcf7+TNFA_BIRC3,0.01909928,1.0,0.34060845,1.3420180243353128,0.2,0,25,2,mcf7+TNFA
mcf7+TNFA_CASP8,0.17128386,0.76,0.23504075,0.5758700091070533,0.32,0,25,2,mcf7+TNFA
mcf7+TNFA_CREB1,0.024776312,1.0,0.32201836,1.2570934263234634,0.16,0,25,2,mcf7+TNFA
mcf7+TNFA_ZFP36L1,0.015458621,0.96,0.1627606,0.761712853450599,0.0,0,25,2,mcf7+TNFA
a549+TNFA_RELB,0.0056059035,1.0,0.09494145,0.937554058281691,0.5,0,2,3,a549+TNFA
bxpc3+INS_ELK1,0.003045814,0.875,0.25373453,0.0942275660755067,0.75,2,6,3,bxpc3+INS
bxpc3+INS_GRB2,0.15165326,0.6,0.26641896,0.1284960806841501,0.8,4,21,3,bxpc3+INS
bxpc3+INS_HSF1,0.0071595544,0.8888888888888888,0.22865507,0.09487801292630799,0.8888888888888888,2,7,3,bxpc3+INS
bxpc3+INS_POLR2G,0.07920328,0.88,0.3824496,0.2225174937011207,0.64,0,25,3,bxpc3+INS
bxpc3+INS_SHC1,0.16602314,0.72,0.1650179,0.2925021397955796,0.56,4,21,3,bxpc3+INS
