,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNB_BRD9,0.0072242073,0.0054325303,1.3298053,0.9984244,0.56126904,0.8574612956246914,0.44213135187060165,0.9986979956000734,0.9988308089865716,0.9998670311475144,2400,1057,,,,,,,,,,,,,a549+IFNB_BRD9,a549+IFNB,BRD9,True,False,0
a549+IFNB_ETS1,0.004273345,0.006631622,0.64438915,0.9987966,0.61251223,0.8927442266038814,0.48558496373600357,0.9990769671026353,0.9986003550899855,1.0004772800352217,2415,1017,,,,,,,,,,,,,a549+IFNB_ETS1,a549+IFNB,ETS1,True,False,0
a549+IFNB_IFNAR2,0.012751383,0.019985542,0.6380304,0.9968793,0.666636,0.8445578342043268,0.42363686916520193,0.9975420602941829,0.9954966215764215,1.002054691772356,2299,1152,0.13271242380142212,0.6044317483901978,0.21956560015678406,0.9122568368911743,0.9147862195968628,0.8515384615384616,0.9153846153846154,0.957961803414619,0.9163377004741995,1.0454244138584272,25.0,0.0,a549+IFNB_IFNAR2,a549+IFNB,IFNAR2,True,False,0
a549+IFNG_ATF3,0.047631618,0.0060365554,7.890529,0.9858415,0.12458281,0.8423325746600823,0.2090294299731461,0.989148356480895,0.9986703950654469,0.9904652840100183,1991,1308,,,,,,,,,,,,,a549+IFNG_ATF3,a549+IFNG,ATF3,False,True,0
a549+IFNG_ATF5,0.04801192,0.010859599,4.42115,0.98533356,0.2336624,0.8288070318076236,0.31794228620564163,0.9886662332129733,0.9978156887406481,0.9908305154640108,2112,1120,,,,,,,,,,,,,a549+IFNG_ATF5,a549+IFNG,ATF5,False,True,0
a549+IFNG_BATF2,0.04607458,0.005343186,8.623054,0.9865765,0.16440846,0.8449942384817253,0.21143948413880023,0.9897177224368314,0.9987895524890712,0.9909171756656525,1966,1320,,,,,,,,,,,,,a549+IFNG_BATF2,a549+IFNG,BATF2,False,True,0
a549+IFNG_CEBPB,0.05179707,0.020390501,2.5402548,0.9836471,0.2481269,0.8196097376910417,0.3310918011231271,0.9872808502258525,0.9957899041693267,0.991454970664146,2151,1065,0.18664325773715973,0.34647706151008606,0.5386886596679688,0.8043389320373535,-0.054636165499687195,0.7892307692307692,-0.08461538461538462,0.9384976722970929,0.9621258287069903,0.9754417190507696,22.0,3.0,a549+IFNG_CEBPB,a549+IFNG,CEBPB,False,True,0
a549+IFNG_CEBPE,0.048278205,0.009158959,5.271146,0.98515034,0.15807062,0.8375614359081892,0.26521546634539805,0.9885466258577932,0.9981193494895927,0.9904092394995702,2043,1191,,,,,,,,,,,,,a549+IFNG_CEBPE,a549+IFNG,CEBPE,False,True,0
a549+IFNG_CLK1,0.07174619,0.14761528,0.486035,0.97068894,0.63710916,0.7304654801740665,0.6448692351868627,0.9763431807715541,0.9796628961929545,0.9966113696514372,2519,560,0.4606327712535858,0.9058020710945129,0.5085358023643494,0.6808903217315674,-0.12904243171215057,0.7309098038648407,-0.15538461538461537,0.8987503906488155,0.9553057070897908,0.9407987244070137,21.0,4.0,a549+IFNG_CLK1,a549+IFNG,CLK1,False,True,0
a549+IFNG_CUL1,0.07510892,0.020190377,3.7200358,0.9816455,0.3656638,0.7210703928729941,0.3500893637580433,0.9852375758553397,0.9957424870527958,0.9894501727765492,2142,1129,0.5166143178939819,0.6842995882034302,0.7549534440040588,0.8009722232818604,0.6305955052375793,0.6791208791208792,0.5076923076923077,0.8984532621658093,0.850674658749914,1.0561655421663871,11.0,3.0,a549+IFNG_CUL1,a549+IFNG,CUL1,False,True,0
a549+IFNG_EHF,0.049744304,0.015518599,3.2054636,0.9843132,0.23520373,0.8233622869007985,0.305676388847743,0.9878228659470295,0.996957082785248,0.9908379036611087,2101,1111,,,,,,,,,,,,,a549+IFNG_EHF,a549+IFNG,EHF,False,True,0
