,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
a549+IFNG_PPARG,0.83292216,0.84,0.71938217,1.047198141956198,0.6,0,25,0,a549+IFNG
a549+IFNG_PTGES3,0.4191836,0.84,0.4927611,0.5161413020914161,0.72,0,25,0,a549+IFNG
a549+IFNG_ZFP36,0.3606626,0.6666666666666666,0.3333232,0.5239660884340344,0.6666666666666666,0,3,0,a549+IFNG
a549+TNFA_CSF1,0.16728048,0.8,0.11723066,0.41937926608151715,0.68,0,25,0,a549+TNFA
a549+TNFA_IKBKG,0.034380633,1.0,0.09600091,0.004827172626273092,1.0,0,2,0,a549+TNFA
a549+TNFA_MAPK14,0.007068791,1.0,0.0771164,0.008856270486129844,1.0,0,2,0,a549+TNFA
a549+TNFA_MTOR,0.052599635,0.88,0.09155068,0.6554903253342212,0.64,0,25,0,a549+TNFA
a549+TNFA_PTGS2,1.8749816,0.5,1.620753,2.183506756380462,1.0,0,2,0,a549+TNFA
a549+TNFA_TRAF1,0.19183336,0.8181818181818182,0.058409702,0.7353188236332842,0.5909090909090909,0,22,0,a549+TNFA
a549+TNFA_TRAF2,0.9566964,0.5714285714285714,0.28503466,0.32310438140736253,0.7142857142857143,2,19,0,a549+TNFA
bxpc3+IFNG_IRF5,0.26985827,0.64,0.2519409,0.46157728503528683,0.68,0,25,0,bxpc3+IFNG
bxpc3+IFNG_PPARG,0.4304153,0.68,0.32804888,0.5591015691825139,0.68,0,25,0,bxpc3+IFNG
bxpc3+IFNG_PTGES3,0.2755544,0.68,0.23965888,0.46623011757658644,0.48,0,25,0,bxpc3+IFNG
bxpc3+IFNG_ZFP36,0.34294644,0.64,0.28663883,0.6643665321677892,0.56,0,25,0,bxpc3+IFNG
bxpc3+TGFB_MAPK14,1.6379291,0.25,0.90143937,0.3193408525986958,0.75,2,2,0,bxpc3+TGFB
bxpc3+TGFB_MED15,0.84791625,0.88,0.33541295,0.3634820867319189,0.68,0,25,0,bxpc3+TGFB
bxpc3+TGFB_RUNX3,0.023087291,1.0,0.6020518,2.0407671273478853,0.0,0,2,0,bxpc3+TGFB
bxpc3+TNFA_CSF1,0.16650699,0.84,0.08047826,0.3267501039758324,0.68,0,25,0,bxpc3+TNFA
bxpc3+TNFA_IKBKG,0.052014872,0.68,0.080462925,0.3862206235419449,0.64,0,25,0,bxpc3+TNFA
bxpc3+TNFA_MAPK14,0.17972246,0.68,0.21793146,0.34633630214556776,0.6,2,23,0,bxpc3+TNFA
bxpc3+TNFA_MTOR,0.112032235,0.6,0.115472704,0.2716105064593506,0.68,0,25,0,bxpc3+TNFA
bxpc3+TNFA_PTGS2,0.31577882,0.7916666666666666,0.2666603,0.5992259633134392,0.5416666666666666,1,23,0,bxpc3+TNFA
bxpc3+TNFA_TRAF1,0.07072937,0.68,0.0834923,0.3769494985011624,0.68,0,25,0,bxpc3+TNFA
bxpc3+TNFA_TRAF2,0.45846948,0.64,0.08805793,0.38976863085534647,0.48,0,25,0,bxpc3+TNFA
hap1+IFNG_PPARG,1.0100211,0.76,1.0224706,2.1713028594329185,0.56,0,25,0,hap1+IFNG
hap1+IFNG_PTGES3,0.46496335,0.56,0.37269282,1.1694965659567875,0.64,0,25,0,hap1+IFNG
hap1+INS_MTOR,0.32996354,0.76,0.13492924,1.0948150707120614,0.4,0,25,0,hap1+INS
hap1+INS_POLR2L,0.34118655,0.8,0.19554521,1.3675524230564111,0.48,0,25,0,hap1+INS
hap1+INS_TSC2,0.2066844,0.6666666666666666,0.2881326,0.5420303330309523,0.3333333333333333,4,5,0,hap1+INS
hap1+INS_ZNF593,0.0037521254,1.0,0.017650917,0.13622796068075818,0.5714285714285714,0,7,0,hap1+INS
hap1+TGFB_KRAS,0.09738692,1.0,0.20463903,0.10610509231308489,0.5,0,2,0,hap1+TGFB
hap1+TGFB_MED15,0.45615867,0.92,0.21014658,0.8580150580460965,0.6,0,25,0,hap1+TGFB
hap1+TGFB_RUNX3,0.47303694,1.0,0.8026582,0.08508943021415574,1.0,0,1,0,hap1+TGFB
ht29+IFNB_HERC6,0.22345328,1.0,1.1901085,0.8731138744048957,0.6666666666666666,0,3,0,ht29+IFNB
ht29+IFNB_IFNAR2,1.3983921,1.0,1.8459482,0.28699553229112346,1.0,0,25,0,ht29+IFNB
ht29+IFNB_MAPK14,0.15104412,0.8,0.18755956,0.7587890855296072,0.56,1,24,0,ht29+IFNB
ht29+IFNG_PPARG,0.17861158,0.6,0.15304306,0.9281986038947052,0.48,0,25,0,ht29+IFNG
ht29+IFNG_PTGES3,0.11471155,0.68,0.08670194,1.0906438261125322,0.36,0,25,0,ht29+IFNG
ht29+IFNG_ZFP36,0.17120548,0.0,0.028894307,0.03395205539386521,0.0,0,1,0,ht29+IFNG
k562+INS_MTOR,0.11641425,0.92,0.61640704,0.7631715846783158,0.8,0,25,0,k562+INS
k562+INS_POLR2L,0.1059669,0.92,0.22077781,0.7021803349623955,0.68,1,24,0,k562+INS
k562+INS_TSC2,3.0679355,0.24,0.9434965,2.1140926803515208,0.48,21,4,0,k562+INS
