,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNB_BRD9,0.008059514,0.0054325303,1.4835653,0.9984399,0.51383096,0.8866463103436525,0.4497952337789789,0.9987665824505939,0.998830864907784,0.9999356422999642,2434,1023,,,,,,,,,,,,,a549+IFNB_BRD9,a549+IFNB,BRD9,True,False,0
a549+IFNB_ETS1,0.0057370313,0.006631622,0.8651023,0.9985076,0.56248355,0.8960330896114668,0.5093540706492481,0.9988517112643343,0.9986003213640053,1.0002517422585901,2488,944,,,,,,,,,,,,,a549+IFNB_ETS1,a549+IFNB,ETS1,True,False,0
a549+IFNB_IFNAR2,0.015997173,0.019985542,0.80043733,0.996106,0.5486727,0.8497677194107945,0.36571543561085773,0.9969797322487475,0.9954965548614321,1.0014898870117355,2231,1220,0.1858072131872177,0.6044317483901978,0.30740809440612793,0.9026089906692505,0.9275091886520386,0.8115384615384615,0.8561538461538462,0.953595636786616,0.9163377004741995,1.040659613036914,24.0,1.0,a549+IFNB_IFNAR2,a549+IFNB,IFNAR2,True,False,0
a549+IFNG_ATF3,0.077428855,0.0060365554,12.826662,0.98007107,0.1444234,0.824774403553109,0.24695776205943068,0.9846639315196664,0.9986704657044807,0.9859748188558537,2068,1231,,,,,,,,,,,,,a549+IFNG_ATF3,a549+IFNG,ATF3,False,True,0
a549+IFNG_ATF5,0.07736407,0.010859599,7.1240263,0.97927845,0.23756722,0.805263309137849,0.3440040856995402,0.9839709233562406,0.9978156318872164,0.986124983325035,2175,1057,,,,,,,,,,,,,a549+IFNG_ATF5,a549+IFNG,ATF5,False,True,0
a549+IFNG_BATF2,0.07789872,0.005343186,14.579076,0.98026586,0.11369575,0.8254697265750834,0.1887514761913694,0.9848259023492693,0.9987895875013009,0.9860193925459666,1989,1297,,,,,,,,,,,,,a549+IFNG_BATF2,a549+IFNG,BATF2,False,True,0
a549+IFNG_CEBPB,0.082256235,0.020390501,4.0340466,0.97653836,0.20445085,0.8166888766414518,0.3274507600658636,0.9817661109084209,0.9957899411213185,0.985916879018575,2181,1035,0.2454654574394226,0.34647706151008606,0.7084609270095825,0.6863642334938049,-0.05157371610403061,0.713076923076923,-0.052307692307692305,0.9024446015401294,0.9621258287069903,0.9379694158641734,20.0,5.0,a549+IFNG_CEBPB,a549+IFNG,CEBPB,False,True,0
a549+IFNG_CEBPE,0.0758014,0.009158959,8.276203,0.97907865,0.15935618,0.8215457280115809,0.28182145759076394,0.9838526122057463,0.9981193134073044,0.9857064170486236,2100,1134,,,,,,,,,,,,,a549+IFNG_CEBPE,a549+IFNG,CEBPE,False,True,0
a549+IFNG_CLK1,0.09014324,0.14761528,0.61066335,0.9605646,0.5990045,0.7568777771534556,0.6065088573591185,0.968103584043787,0.9796629474400674,0.9882006730718091,2437,642,0.6414743661880493,0.9058020710945129,0.7081838250160217,0.6341626644134521,-0.19800381362438202,0.6570494447374463,-0.10769230769230768,0.8871505037855018,0.9553057070897908,0.9286561330069778,19.0,6.0,a549+IFNG_CLK1,a549+IFNG,CLK1,False,True,0
a549+IFNG_CUL1,0.10695381,0.020190377,5.2972665,0.9771535,0.36650088,0.7672341122179914,0.3475689043843017,0.9821939637569003,0.9957425237758152,0.9863935106762948,2141,1130,0.48837730288505554,0.6842995882034302,0.7136893272399902,0.793278157711029,0.6136051416397095,0.6967032967032967,0.6439560439560439,0.895354584355575,0.850674658749914,1.052522930060382,12.0,2.0,a549+IFNG_CUL1,a549+IFNG,CUL1,False,True,0
