,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNB_CEBPB,0.014678647,0.021038009,0.69772035,0.9961301,0.50356984,0.8762168789469844,0.4353306704499647,0.9969547238405919,0.9958052851638549,1.001154280554504,2312,1059,0.2726832330226898,0.493488073348999,0.552562952041626,0.9873997569084167,0.39521709084510803,0.9223076923076923,0.4684615384615385,0.9891013595924847,0.9735909380270524,1.0159311482467817,25.0,0.0,a549+IFNB_CEBPB,a549+IFNB,CEBPB,True,False,0
a549+IFNB_NFKB1,0.009211029,0.023609543,0.3901401,0.99707246,0.7160994,0.8390206688874767,0.6265418996467642,0.9977128777518982,0.9955900617333183,1.0021322189726203,2591,753,0.11026684939861298,0.3070290684700012,0.35914140939712524,0.975368857383728,0.5603281855583191,0.8084615384615383,0.46615384615384614,0.9751822350075331,0.9414060172865764,1.0358784808050305,25.0,0.0,a549+IFNB_NFKB1,a549+IFNB,NFKB1,True,False,0
a549+INS_HSF1,0.0063642217,0.0029337609,2.1693048,0.9985482,0.3782,0.8605527133935138,0.31928801332140255,0.9988442580691005,0.9993328364793415,0.9995110954104518,2268,1269,,,,,,,,,,,,,a549+INS_HSF1,a549+INS,HSF1,True,False,0
a549+INS_MAPK1,0.007450447,0.008668268,0.85950816,0.99779207,0.43108523,0.8655571331170258,0.35898240917919494,0.998282063622298,0.9980928442240489,1.0001895809586694,2202,1186,0.02676195092499256,0.10716143250465393,0.24973490834236145,0.9406517744064331,0.8790467381477356,0.9833333333333333,0.9,0.9663471498032824,0.9716681542645353,0.9945238459880571,9.0,0.0,a549+INS_MAPK1,a549+INS,MAPK1,True,False,0
a549+TGFB_NFKB1,0.004259775,0.006140868,0.69367635,0.99883854,0.5968919,0.8644471897876688,0.4741015620444288,0.9990856451715463,0.9986683736267442,1.0004178279355005,2450,1089,0.021323159337043762,0.07692132890224457,0.2772073745727539,0.8395832180976868,0.6570845246315002,0.49999999999999994,0.6,0.9764937315926987,0.9905777967957344,0.9857819696256124,5.0,0.0,a549+TGFB_NFKB1,a549+TGFB,NFKB1,True,False,0
a549+TGFB_PRKCA,0.004114746,0.0021869973,1.8814591,0.9990978,0.44300848,0.8800105127163094,0.32966311596056186,0.9992562373426355,0.9995009385829774,0.999755176577734,2295,1357,,,,,,,,,,,,,a549+TGFB_PRKCA,a549+TGFB,PRKCA,True,False,0
a549+TGFB_RUNX3,0.0028173274,0.0031525518,0.8936657,0.9991634,0.4523216,0.9016563896916043,0.3410173229702371,0.9993386846931455,0.9992952760447003,1.000043439261133,2291,1325,,,,,,,,,,,,,a549+TGFB_RUNX3,a549+TGFB,RUNX3,True,False,0
a549+TGFB_SMAD4,0.04263136,0.04388422,0.9714508,0.9873252,0.17341,0.8850218199308713,0.25343864860483944,0.9902315088614586,0.9897945584830496,1.0004414556280028,2115,1405,1.84186589717865,1.7724682092666626,1.0391530990600586,0.29550838470458984,-0.22499847412109375,0.29692307692307696,-0.10076923076923076,0.8920206179445928,0.8963342351085282,0.9951874903412419,10.0,15.0,a549+TGFB_SMAD4,a549+TGFB,SMAD4,True,False,0
a549+TNFA_NFKB1,0.008145624,0.0093324,0.8728327,0.99755275,0.45281118,0.8558463574605317,0.4264343979683903,0.9981025360570749,0.9980255383122594,1.0000771500746821,2456,1087,0.013418017886579037,0.06317560374736786,0.2123923897743225,0.9516316056251526,0.7207198739051819,0.9271013827969822,0.5361538461538461,0.980851071662435,0.9676316282966364,1.013661648688633,25.0,0.0,a549+TNFA_NFKB1,a549+TNFA,NFKB1,True,False,0
a549+TNFA_SOX9,0.010996892,0.027197514,0.40433446,0.9963424,0.69489014,0.826638207212841,0.6339302074786837,0.9971120906316928,0.9949463089161201,1.0021767825018941,2738,742,0.07227172702550888,0.21559911966323853,0.33521345257759094,0.9557508826255798,0.4737371802330017,0.7393729700148547,0.5276923076923077,0.9698809121026294,0.9428861788379732,1.028629896026183,24.0,1.0,a549+TNFA_SOX9,a549+TNFA,SOX9,True,False,0
a549+TNFA_ZFP36L1,0.04129431,0.047045384,0.8777548,0.9918765,0.32734644,0.8602906727696248,0.2754642439769364,0.9932215954271394,0.9919353474777588,1.0012967054280817,2121,1365,0.3077489733695984,0.41536015272140503,0.7409207820892334,0.949891209602356,0.1510760486125946,0.8513175768173119,-0.10692307692307691,0.9240487836107208,0.8940270201722045,1.0335803759406887,21.0,4.0,a549+TNFA_ZFP36L1,a549+TNFA,ZFP36L1,True,False,0
bxpc3+IFNB_CEBPB,0.009784537,0.012821782,0.7631183,0.99699825,0.4191613,0.9077971774950405,0.3462492675511829,0.997663298434117,0.9972019458273477,1.0004626471184697,2561,1472,0.15980321168899536,0.2928478717803955,0.5456867814064026,0.6175947785377502,0.5602541565895081,0.8584615384615385,0.5800000000000001,0.7665816376312923,0.7010805217846579,1.09342880569538,24.0,1.0,bxpc3+IFNB_CEBPB,bxpc3+IFNB,CEBPB,True,False,0
bxpc3+IFNB_NFKB1,0.00931976,0.017404156,0.5354905,0.9970639,0.59904647,0.8809674003049446,0.5397620768055456,0.9977482841638969,0.996523255182374,1.0012293029541983,2897,1115,0.08613863587379456,0.25464490056037903,0.3382696211338043,0.990329921245575,0.7200281620025635,0.510482794594023,0.6961538461538461,0.9862197066299071,0.9329681747939513,1.0570775437733624,25.0,0.0,bxpc3+IFNB_NFKB1,bxpc3+IFNB,NFKB1,True,False,0
bxpc3+IFNG_CEBPB,0.013921588,0.015165759,0.9179618,0.9963547,0.43532157,0.8995194609365426,0.3956084714829607,0.9972337090284421,0.9966268322538404,1.000608930800337,2585,1356,0.071120984852314,0.2693198323249817,0.264076292514801,0.9824528098106384,0.9535675048828125,0.9263320040560719,0.7884615384615384,0.9715762947969022,0.9565208898269831,1.0157397555349181,25.0,0.0,bxpc3+IFNG_CEBPB,bxpc3+IFNG,CEBPB,True,False,0
bxpc3+INS_HSF1,0.0066962326,0.0038155415,1.7549888,0.9981849,0.34685358,0.8896453646440214,0.19127989876850718,0.9985927403602215,0.9990976367662685,0.9994946475825114,2557,1950,0.0091503681614995,0.22865507006645203,0.04001821577548981,0.9667446613311768,0.98271644115448,0.6333333333333333,0.9833333333333333,0.9808106669663086,0.9851375189412348,0.9956078700772899,9.0,0.0,bxpc3+INS_HSF1,bxpc3+INS,HSF1,True,False,0
bxpc3+INS_SMARCE1,0.18314202,0.22946194,0.79813683,0.9640852,0.54510933,0.8090938315478633,0.4954448844279314,0.9692084917373915,0.9634106907970812,1.006017995228508,2721,1244,0.3259069323539734,0.44268184900283813,0.736210286617279,-0.519782543182373,0.4853573441505432,-0.745637778068586,0.5569230769230769,0.07224280689706641,0.09861572948031172,0.7325688029462829,18.0,7.0,bxpc3+INS_SMARCE1,bxpc3+INS,SMARCE1,True,False,0
